id,rumour,text,reply_to
552821795628531715,charliehebdo,"“@SputnikInt: UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer http://t.co/EXDVWYiyrL” 

well..",UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer http://t.co/kLKwMSlo7g
500478509366915072,ferguson,@29plussome @LisaBloom i relistened to the press conf &amp; ur right i was wrong,@TimWiseheart Incorrect. Was on sick person call &amp; then driving came across Brown &amp; friend walking &amp; asked they get off the road @LisaBloom
524926674417500160,ottawashooting,"@PzFeed @Rui_Castro All our domestic military should be armed, now.",BREAKING NEWS: At least 3 shots fired at Ottawa War Memorial. One soldier confirmed shot - http://t.co/wiPaKVPSDb http://t.co/vwxeqj8xe9
500393320032370688,ferguson,@andybankertv @FOX2now   Is that the video also?,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
577287160329465856,putinmissing,"@PatOndabak 
Putin has gone 1 better
Behold the Russian secure office
Actor portrayed even
https://t.co/NUsIlGWg02",Was Vladimir Putin netralized by an internal coup? Or maybe he's vacationing in Harper's closet:  http://t.co/tlr3cFLEyv #LookingForNarnia
525408911105347584,ottawashooting,"@codywohlers @ArmedResearch @emerhughes4 
https://t.co/ckCzlSKMMG",@ArmedResearch @emerhughes4 for everyone else who doesn't want to read your whole timeline https://t.co/4TYnHVB8qR
544303487698210817,sydneysiege,@GoneSiIver @PzFeed isis stuff,@PzFeed @APH_Switzerland whats going on
524960305466466304,ottawashooting,@raymondillo @BBCBreaking One shooter is dead. Shot by the Sargent at Arms.,@Darke_Conteur We always feel the same over here when similar happens.  Hope its all over.soon. @BBCBreaking
500279534420525056,ferguson,@DanteB4u THIS IS MY FUCKING QUESTION!!!,"Question for #Ferguson police chief? If OFFICER DARREN WILSON was in pursuit of a robbery suspect, why tell kids to get out of the road? LIE"
499685061956882433,ferguson,@MichaelSkolnik Not minding ur own business is often the first step towards big problems.No matter what color u are or how much money u have,A woman in #Ferguson was shot in head last night and released this selfie. Conflicting reports of how it happened: http://t.co/25WX6EkquG
544317955714994176,sydneysiege,@australian @HepworthAnnabel thank god our madness is limited to running around and causing anyone any harm. Hope for a peaceful ending,Prime Minister Tony Abbott's statement on the #SydneySiege. Updates: http://t.co/EgWHAnjO35 http://t.co/AGhyN5Qkei
544382677449580544,sydneysiege,"@TroyBramston @australian @channeltennews is this same as the ""call"" to Ray Hadley by ""POI"" from 10.30am? Or new info?",Reports on @channeltennews #sydneysiege gunman wants #ISIL flag delivered to cafe and he also wants to speak to PM or people will be killed.
552846396106502144,charliehebdo,Horrible! “@thei100: Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/X4dB9rqK0k http://t.co/741oNWbSS9”,Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5
544298332005613569,sydneysiege,@FoxNews Sending prayers.,"UPDATE: 13 people being held hostage in #Sydney shop, Opera House evacuated after suspicious package found: reports http://t.co/n4D3yGjso9"
580333762677997569,germanwings-crash,@AirSmolik pilots may have been suffering a Hypoxie,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?
553538823989493760,charliehebdo,"“@AP: MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded: http://t.co/9S37Tqhpub”","MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded: http://t.co/5300zReVuq"
525014151161081856,ottawashooting,"@tdgecas @Henderburn I agree Tyler, have some respect.That man shot is servicing your country and all you want to do is snap a pic.Pity you!",@Henderburn so.. Instead of helping you took a picture for profit?
500327538627837954,ferguson,@zellieimani @jasiri_x Can u say Lindsey Lohan?? Go ahead say her name 3x.. LOL,How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson
524943557657133056,ottawashooting,"@skobos Yeah, sure. Please credit me though.",@Henderburn I'm a Photo Editor @ ABC- Would you be willing to share this with all ABC News platforms and with partners if we credit?
500305500441833474,ferguson,You misspelled citizens. @PrisonPlanet @SlavLibertarian,"Reminder: Forget the robbery, forget the minor looting. NOTHING justifies militarized police pointing sniper rifles at journalists #Ferguson"
524948114113703936,ottawashooting,@DaveBeninger prayers and thoughts to his family and friends....,BREAKING NEWS: New York Times is reporting the Canadian soldier who was shot has died from their injuries. Heartbreaking. #cdnpoli #ableg
581440515834413056,germanwings-crash,@daxtonbrown @ItsJustJill. It took long enough to admit this. Who was holding it back?,GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT. Can any muslim be trusted near an airplane now?
544354628775600128,sydneysiege,"@leeanneart @mashable ""Grease my palm with silver lovie."" The disgraceful pricks. Run 'em outta town folks.","“@mashable: Uber says it has hiked prices in Sydney to ""encourage more drivers to come online &amp; pick up #SydneySiege” Uber=ugly opportunism!"
580335177785696256,germanwings-crash,@BBCBreaking,"#Germanwings latest: http://t.co/8tZopIBYLh
- #Airbus A320 crashes in French Alps
- Barcelona-to-Dusseldorf flight
- 142 passengers &amp; 6 crew"
500355777878835200,ferguson,"@BrwnSkinGirly @CNNVideo word, took a bullet for some swishers -.- we'll never know the whole story though",“@TheSabber: @BrwnSkinGirly @CNNVideo he robbed swishers supposedly” smh
544520698127872001,sydneysiege,@emaccaz_ @Angus_OL I DIDNT WATCH THE VIDEO I WAS TOO SCARED WHAT HAPPENED,@Angus_OL @vanilIapayne THATS THE LADY FROM THE VIDEO
580355004294250496,germanwings-crash,“@BBCBreaking: King Felipe VI of Spain cancels state visit to France after #Germanwings crash http://t.co/wAKIEsJ7lG http://t.co/qv3Tf8v7NS”,King Felipe VI of Spain cancels state visit to France after #Germanwings crash http://t.co/teojxJoBMX http://t.co/E5OhXbiGGU
580319759532724224,germanwings-crash,"“@rConflictNews: BREAKING: 148 passengers were on board #GermanWings Airbus A320, crashed in the southern French Alps - @AlArabiya_Eng” 😰",BREAKING: 148 passengers were on board #GermanWings Airbus A320 which has crashed in the southern French Alps - @AlArabiya_Eng
544319596719661056,sydneysiege,@tomsteinfort who believes Ray Hadley?,"Ray Hadley says he spoke with hostage, and could hear the gunman in the background barking orders and demanding to go live on air"
500385293103820800,ferguson,"@rolandsmartin when that didn't made logical sense, now it was jaywalking? And he felt the nd to use deadly force for jaywalking? Lol","Oh. So NOW the #Ferguson police chief says the cop didn't know about the robbery when he stopped #MikeBrown. The kid was ""jaywalking""? BS!"
500303144429973508,ferguson,".@mmwlawtaos @KatEdmiston - #Ferguson PD tried to justify probable cause, even 1st &amp; 2d shot, everything after = premeditated murder.","@DanteB4u @KatEdmiston There's no spin, cops blew it from day one by not releasing shooter's name! Trying to control the narrative w/lies👎🚫."
498451864112074752,ferguson,"@MichaelSkolnik @AC_BOwen #Cleveland Any Excuse Will Do.
In A Police Chase 11-29-12~#2UnarmedBLACKS #MURDERED 
By #13RACISTCOPS #137GUNSHOTS",Witness: Police allegedly stopped Mike Brown after yelling at him to walk on sidewalk. #Ferguson http://t.co/XG00R6w0k6
544313221180833792,sydneysiege,@NijatK So Australia has banned guns and Violent video games. Looked at what has happened.,"@Simbad_Reb let's not forget those naughty video games, hope that keeps you warm before the next mass shooting"
544295967638302720,sydneysiege,@XxPLWxX @BBCWorld cos it's not,"@BBCWorld Yeah, being forced to hold an ISIS flag. Why aren't you reporting that?"
500406679176241153,ferguson,@jlpauk why would the ferguson PD and STLCO PD release the information they've released and fail to mention that?,@Tom_sveb @spants And there was a struggle inside the car. How do we know Brown didn't get the gun and fire the shot during the struggle?
524966291413561344,ottawashooting,@Gormanghast then educate me..???,@MystiRoz they may not be radicalised. This is only what you are fed by media which governments control you need to open your mind to truth
500294596707254272,ferguson,Identical but irrelevant RT @TheAnonMessage2: Did anyone think of comparing the clothes that #MikeBrown was wearing to the security footage?,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson
576321273594294272,putinmissing,@russian_market @L0gg0l Mr Putin building the nation is great. Good country man and best president,Hoppla! @L0gg0l: Swiss Rumors: Putin absence due to girlfriend Alina giving birth in Ticino http://t.co/vZnGDH1Qys http://t.co/5TvXSdvd1H
500401666454065154,ferguson,"@spants @Tom_sveb @rui_xu @flavius217 You're making an assumption about something based on other peoples actions, that's my point.",@jlpauk @Tom_sveb @rui_xu @flavius217 Rand Paul used those words BECAUSE of this incident. Just fuck off dude. Fuck off so hard.
544336231358664704,sydneysiege,@VegasRebs @Simbad_Reb statistics say your freedom will be used to shoot your family not protect them.,@NijatK @Simbad_Reb And I'd gladly have my freedom to protect my family. Thanks.
500297571856678912,ferguson,"@YourAnonLive @OpFerguson that's also not a robbery in most jurisdictions, it's a petty theft. (Eg Los Angeles)",Here's the police report. Somehow #Ferguson cops valued a box of Swishers at nearly $50. Time to stop smokin I guess http://t.co/8ZkvrHkApc
544298217421438976,sydneysiege,"@RT_com Another fine example of #Islam, the peaceful religion, right? Where are the #ModerateMuslims speaking out against this? #BanIslam",DETAILS: The hostage site is Lindt Chocolat Cafe near #Sydney Harbor http://t.co/1ZlzKDjvSf http://t.co/7u8EFUwCey
553201111159824384,charliehebdo,@andreemurphy @Independent agree A Murphy,@Independent Showing his face in his final moments is crass insensitivity and totally unnecessary - his family are grieving
524925724499935232,ottawashooting,RT @globeandmail: #BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/izPAUV0qd4 http://t.co/rM0ext7FAF,#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma
500286470150967296,ferguson,@zellieimani maybe they will do like 911 and cut out frames,If there is surveillance of a robbery why release stills and not the video itself? #Ferguson
552817687257415681,charliehebdo,"@DrBMSinghal @RT_com Or even better, how about the world just abolishes islam all together. It's nothing but a cancer to the world.","@RT_com 
     ISLAMIC SCHOLARS SHOULD COME FORWARD TO END 'JIHAD' !
       IT IS INHUMAN &amp; WOULD DESTROY THE CREDIBILITY OF ISLAM !"
552795124288073729,charliehebdo,@galaturco @AFPphoto how do you know that the attackers were muslims?,@AFPphoto I strongly condemn this terrorist attack as a Turkish Muslim.I love my Prophet.But my Prophet rejects terrorism.
544530369312477184,sydneysiege,@Joyce_Karam @LibyaLiberty No wonder dude upped his game. Seems like men engaged in femicide &amp; sexual assaults in Australia can roam freely?,"Haron Monis,Hostage-taker in #Sydney: Fled #Iran 96,suspect in ex-wife killing,46 sex assaults http://t.co/3caiB9OnFg http://t.co/vfOXjtrGgZ"
576513717212442625,putinmissing,@MailOnline never !!,Putin reappears on TV amid claims he is unwell and under threat of coup http://t.co/YZln23EUx1 http://t.co/ZsAnBa5gz3
524999052367527937,ottawashooting,"@tdgecas @Henderburn Getting the word out about an active shooter situation seems pretty helpful, but please, tell us what you'd have done.",@tdgecas @henderburn I didn't realize you were on the scene and could verify that he could have saved the life of the guy shot four times.
500368570724155392,ferguson,"@PublicOffendor @CNNVideo did I say it was fake u , are u stupid or dumb? I said why show it now... 😒","@BrwnSkinGirly @CNNVideo did you see the video?
do you think the police faked the video? are you saying this ISNT Michael brown??

please"
524962719980879872,ottawashooting,@mercy2us @RideauCentre Glad you guys are ok.,@RideauCentre @bernardcolin we were near here trying to drive to Wakefield. Stuck in tfc now
524952460897828865,ottawashooting,@DaveBeninger @frednewschaser  CTV just said he is being treated and is stable ?,BREAKING NEWS: New York Times is reporting the Canadian soldier who was shot has died from their injuries. Heartbreaking. #cdnpoli #ableg
544311274545217536,sydneysiege,@fairyofbloom Hoping for a safe and speedy resolution. Praying no one is hurt but that seems unlikely considering.,"@IsabelsBookClub @WilliamsJon The country would be safer, for us that is."
500355126666600448,ferguson,"YO?!?! RT @ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: http://t.co/zxOTXysLZK","In 2009, #Ferguson police beat a man and charged him for bleeding on them: http://t.co/KzF6Z1l0UK"
524967132090888192,ottawashooting,@Russell_Barth @dmatthewmillar @devo1400 @spaikin That's why there are professionals. Average citizen can only currently make a guess.,@Russell_Barth @dmatthewmillar @devo1400 @spaikin That's rather specious. We don't know t MH situation. Can't b determined from a distance.
499373428592611328,ferguson,"@AnonymousPress cop shoots unarmed black man, citizens start looting and burning the community.is it me or does this not make any sense.",Line of police cars with high beams on greets anyone trying to enter #Ferguson. It's shut down. No media allowed. http://t.co/bk6jFFM7jj
525061628078067712,ottawashooting,@cnnbrk @AC360 sad.....,"The Canadian soldier killed in today's Ottawa shooting is Cpl. Nathan Cirillo, a family source told CNN. Live blog: http://t.co/D58rrFrbwq"
500308746820927489,ferguson,"@PrisonPlanet Journalists, poor and the homeless are not Royalty.","Reminder: Forget the robbery, forget the minor looting. NOTHING justifies militarized police pointing sniper rifles at journalists #Ferguson"
500317982799982592,ferguson,"@MrsDowns @YourAnonLive Strong armed robbery, Assault on the store clerk, assaulting a police officer...and the info continues to come in.",@YourAnonLive A robbery doesn't excuse an execution style murder I don't give a fuck what anyone says. Swisher Sweets aren't worth a life.
553548731690520576,charliehebdo,@BklynMiddleton I could become a novelist and live in the woods of northern Maine...with no internet. And ditto cat(s),@pptsapper Or the day you wonder why you didn't just study creative writing and adopt some nice cats in Vermont.... or something.
524930594464362496,ottawashooting,Gunfire inside Canadian parliament; soldier shot at National War Memorial in Ottawa http://t.co/HlfE0oVrN7 #cdnpoli @CBCPolitics,Soldier shot at National War Memorial in Ottawa http://t.co/Sgmcq7gUzf #cdnpoli #hw
500357701827039232,ferguson,@KoszikMeows oh please even if he jacked the cop up they have other weapons besides a gun,"@BrwnSkinGirly  Yes which from the video, he looks like thug. They are trying to make it seem like he could have done something to the cop"
552805838323478528,charliehebdo,@cnnbrk Today we mourn with France but in the weeks to come France needs to do some soul searching and introspection,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
500281136816594944,ferguson,@edeweysmith VERY SLICK PASTOR!,"That was very ""SLICK"" of the Police Chief to create a narrative that #MikeBrown was a ""suspect"" in a robbery!  #Ferguson"
524937953148403713,ottawashooting,"@Ahmed__Hussain_ @ummsalama15_ To be a journalist, you have to have worked in the profession &amp; abide by its rules. Not just spew propaganda",@rcallimachi @ummsalama15_ news reported by IS journalists dipstick
553587353437356032,charliehebdo,".@marrty96 -SO SAVE ME THE FUCKING LECTURE, AND WHEN MY FELLOW TRIBE MEMBERS ARE BEING HELD HOSTAGE, DONT DARE TELL ME TO CALM DOWN.",@DAVIDMDRAIMAN relax.... Every other work out of #cuomo and #coopers mouth was #kosher
529690572630798338,prince-toronto,@LisaLaFlammeCTV @CTVToronto a suprise concert on Vancouver would be cool #cmonprince,Is it true? Prince rumoured to be performing surprise show in Toronto http://t.co/EZiiLVkXyb
521368940669583360,ebola-essien,@AyyBant @FootballcomEN Fuck off. You're an attention seeking cunt.,@LobittaT @FootballcomEN my family are not african. Denied.
500613335541239809,ferguson,@Galaxy_19 @adrienne_72 @AngryBlackLady A. In a white privilege world,"@AngryBlackLady Vacationing on the Bundy Ranch, I’d imagine."
500313282184761344,ferguson,@DanteB4u @orangeseahorse @Alasscan_ Robbers do not just stroll down the middle of the street after robbing a store. @CNN IDIOTS #Ferguson,"@orangeseahorse @Alasscan_ - Even if not innocent, no justification for violating rights, removing due process &amp; execution #Ferguson MURDER!"
500378925021687808,ferguson,@WSJ Mike thought the coppers were on to him so he tried to assault the officer to get away. #shame..,#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a
544534380614807552,sydneysiege,@TheAnonMessage CAUTION Be aware that this could be a #FalseFlag Event unfolding right across the street from channel 7 coincidence? Perhaps,FIRST PHOTOS: Hostage pressed against a window. #SydneySiege http://t.co/MOy8zCHp5a
553188436178264066,charliehebdo,@juliamacfarlane @dandrezner Highly trained doesn't necessarily mean always smart.,"I am still confused as to why these ""highly trained"" individuals left their ID in the getaway car. #CharlieHebdo"
544469062323933184,sydneysiege,"@onewaymule87 @smh from the scuttlebutt I am hearing, what he didn't put to air makes him fascinating intermediary! Still, he has blown hard",@smh @ZJGarred I'm fascinated by Ray Hadley's role in #sydneysiege. Genuine intermediary or opportunistic blowhard?
524973072504606720,ottawashooting,"@mythos_man @CBCAlerts @CBCNews @JustinTrudeau that's the Canada we want, not a Canada that wants to send its military all over ME","@DaryusAzad @CBCAlerts @CBCNews @JustinTrudeau lives are at stake because of Isis and extremist snakes and cowards, not Harper"
499551016300593152,ferguson,"@MichaelSkolnik Holy Moses. I never used to believe it, but social media really is changing everything about how we interact and see.",A woman in #Ferguson was shot in head last night and released this selfie. Conflicting reports of how it happened: http://t.co/25WX6EkquG
544519398543724544,sydneysiege,“@AusNewsNetwork: #BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.” Please no,#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.
525025735338381313,ottawashooting,@Cameron_Gray @globeandmail May he rest in peace.#respect,"#RIPNathanCirillo

RT @globeandmail: Soldier killed at war memorial identified as Cpl. Nathan Cirillo #OttawaShooting http://t.co/uZZqmlctss"
524932703682969601,ottawashooting,@CBCAlerts OMG.,"Shooter still on loose after uniformed soldier shot at #Ottawa's War Memorial, across road from Parliament. MP's being taken out of offices."
545017860754792448,sydneysiege,@ian_swann @Wossyboo92 @SkyNews I know that. Perhaps Islam reacts very very late on everything the Catholic Church has done centuries ago,@kevinhaast @Wossyboo92 @SkyNews a Jehovah's witness extremist?Mormon extremist?Roman catholic extremist? Etc. Non existent! Muslim...???
524929713014181890,ottawashooting,@BreakingNews @CBCNews @TorontoStar So Canada's strict gun control policies have failed,"Canada's Parliament Hill is on lockdown as police hunt shooting suspect; at least 1 injured - @CBCNews, @TorontoStar http://t.co/aF9HyT9BgX"
544307069864538113,sydneysiege,@DailyMailAU @MailOnline  Why not take him out? Clear view,A man believed to be the gunman filmed wearing a black headband inside the cafe http://t.co/7ixIlhiVXZ http://t.co/dOW5zfm1uU
500282369023430656,ferguson,"Of course, you have to crop have his face. #Ferguson #MikeBrown http://t.co/WfpkBWf6sv","BREAKING NEWS: According to documents released to the press, #MikeBrown was connected to an earlier robbery #Ferguson http://t.co/LuCR9711S0"
552817984524152832,charliehebdo,@DaliaChai @Chusid2015 @cnnbrk hatred pedophile and disgrace in Judaism . We as Muslims don't accept . What freedom if abuse Islam. Death,"@hassanbasmer @Chusid2015 @cnnbrk well if murder, pedophilia &amp; hate is ur true religion, then u deserve the hatred &amp; offense u get! Done w/u"
553549946738446336,charliehebdo,@PD28 @BklynMiddleton Hashtag #kosher shows lots of journalists are referring to it as a kosher supermarket.,@BklynMiddleton u r among the only journalists saying kosher market &amp; not calling it something generic. If it's kosher it was targeted. Thx
544515712640094209,sydneysiege,@FoxNews where is al sharpton to a rest the cops. Australian cops are awesome!!!,"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO"
552817939196678144,charliehebdo,@mjrharris @CEMB_forum Then they must recruit some more cartoonists and continue publishing cartoons.,"Looks like every Charlie Hebdo cartoonist has been killed: 1. Charb - was on Al-Qaeda's hit list; 2. Cabu, 3. Wolinski, 4. Tignous"
544470157670641664,sydneysiege,@leftocentre @onewaymule87 @smh @ZJGarred ESpecially as Junior Hadley is a NSW Plod - wonder if he used his contacts to get stuff not public,"“@onewaymule87: @smh @ZJGarred I'm fascinated by Ray Hadley's role in #sydneysiege. Genuine intermediary or opportunistic blowhard?”

Door B"
499612667430977536,ferguson,@larryelder No profit in it.,"Nearly 7k blacks were murdered last yr--almost all by other blacks. A tiny % were unarmed-killed-by-cop.
Where's Al, Jesse?
#tcot #ferguson"
552834187426689024,charliehebdo,@patxi_hastoy @HuffPostUK we're in a world where you get killed because of your ideas ! I wish they rest in peace 😔,"@HuffPostUK very sad, freedom defenders were killed by weak men that are unable to fight ideas with ideas and don't value lives."
544290571280338948,sydneysiege,So sorry &amp; fear for the hostages @SophiaLippylips @AnitaTeguh @BBCWorld @BBCNews,@OZzSue @AnitaTeguh @BBCWorld @BBCNews cool least your ok bet its a worrying time though for you
500378447597039617,ferguson,"@rolandsmartin initially, but found out about the robbery during the altercation","Oh. So NOW the #Ferguson police chief says the cop didn't know about the robbery when he stopped #MikeBrown. The kid was ""jaywalking""? BS!"
544315413862301697,sydneysiege,@Paul_Murton They just don't care. I hope you &amp; yours are all safe.,"Way uncool, @Uber_Sydney. RT@mashable: Uber intros surge pricing in downtown Sydney during hostage siege http://t.co/u7cvyweook"
500322285883228162,ferguson,LRT from @DeeTwoCents -- THIS is the kind of local PD we're dealing with. #ferguson,"“@TheRoot: The day #Ferguson cops told a dirty, bloody lie (via @thedailybeast): http://t.co/gHOYZVB8ru http://t.co/M6MvEqM8gW”"
580321806285975552,germanwings-crash,@rConflictNews @AlArabiya_Eng Prayers going up. How sad.,BREAKING: 148 passengers were on board #GermanWings Airbus A320 which has crashed in the southern French Alps - @AlArabiya_Eng
553591850532347906,charliehebdo,@SkyNews What about his girlfriend wanted by police ?,"Hostage-taker in supermarket siege killed, reports say. #ParisAttacks http://t.co/0jxoozr8mN http://t.co/sY4M9Vox3L"
580486138378452992,germanwings-crash,@tseymat @euronews condolences to the families! My prayers are with them!,French junior minister for Transport Alain Vidalies confirms they are no survivors in the #Germanwings #A320 crash. http://t.co/ZLIz1oY8wF
544511670890934272,sydneysiege,@7NewsSydney where's the live stream at,POLICE MOVE IN: Police confirm live ammunition used in Martin Place #sydneysiege
580321651780399105,germanwings-crash,@NYCAviation terrible news.,"Accident aircraft looks to be Germanwings (Airline code 4U or GWI) flight 9525, Barcelona to Dusseldorf. #4U9525 http://t.co/TIZc1N1ZrK"
500357587997831169,ferguson,@BrwnSkinGirly @KoszikMeows @CNNVideo It was to show his mentality. To prove that he isn't as innocent as anyone thought he was.,@KoszikMeows @CNNVideo to make him look like the bad guy.. Since there is no real reason for why they did it.
576833135326961664,putinmissing,Three Scenarios For A Succession In #Russia by @CoalsonR http://t.co/OqBqhFdKYk via @RFERL http://t.co/YE63oCPWNu v @andersostlund #Putin,Very good on #Putin coup by @CoalsonR: Three Scenarios For A Succession In Russia http://t.co/fotdqxDfEV via @RFERL http://t.co/RdA0giizeb
498504798971650049,ferguson,@TimmyTurnUp @MichaelSkolnik @Agent_Kindi @Supreme___Power White guys jealous.,@MichaelSkolnik @Agent_Kindi @Supreme___Power These responses explain why thiskeeps happening. Too many white men hate black men. Sad.
524976291905552385,ottawashooting,@CBCAlerts #NHL #Ottawa #Toronto that makes no sense,#NHL cancels tonight's game between #Ottawa and #Toronto due to today's shootings. Senators were to host Maple Leafs.
544485799149187072,sydneysiege,@Wossyboo92 @SkyNews If they shoot him in the head no bomb will go off. Islamic scum. These wankers are deranged.,@SkyNews Just shoot him! Marksman have clearly had enough opportunities to do so
580352961362202624,germanwings-crash,"@UlrichJvV A tragedy for the families and friends of the plane travelers and workers! Despite news, may at least some of them could survive?","Heart goes out to 148 passengers and crew of Germanwings Airbus A320 that has crashed in French Alps, Southern France http://t.co/K7fmJLRt4G"
580337921598816256,germanwings-crash,@BBCBreaking so called experts say no time for distress call but flight radar shows gradual descent over 10 minutes# plane crash,"Debris from #Germanwings crash located in Barcelonette area of the Alps, France's Interior Ministry says http://t.co/teojxJoBMX"
500322693460131841,ferguson,"He went there. “@originalgriz: If we shot everyone in the street for stealing, imagine the carnage on Wall St. #mikebrown #ferguson”","If we shot everyone in the street for stealing, imagine the carnage on Wall St. #mikebrown #ferguson"
